,clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd
0,66,2018-12-01,-1.7,5,40,6,34,288,48,9.1,1543618800,0.6,187,8.0,1543622400,6.4,1543698000,1.0,1.0,977,final,52.4,993,0.0,,2,127,966,144,52,7.4,1543618800,187,12.8,5.5
1,64,2018-12-02,-2.8,5,38,6,33,281,46,7.3,1543777200,1.2,177,6.0,1543777200,1.4,1543723200,0.0,0.0,975,final,55.4,991,0.0,,5,123,923,135,126,5.4,1543705200,177,10.8,3.6
2,100,2018-12-03,-0.7,5,37,5,33,273,44,7.2,1543867200,0.4,142,3.0,1543867200,0.4,1543870800,4.0,4.0,971,final,80.3,986,8.0,,1,119,881,128,21,2.4,1543791600,142,4.8,1.5
3,93,2018-12-04,-0.5,5,35,5,32,266,42,2.8,1543903200,0.4,234,7.0,1543960800,-1.2,1543957200,7.5,7.5,982,final,91.0,998,37.5,,1,115,842,121,22,0.8,1543878000,234,12.8,3.9
4,87,2018-12-05,-1.9,5,34,5,32,260,41,0.7,1543996800,0.5,206,6.0,1543975200,-1.6,1543971600,8.5,8.5,994,final,90.0,1010,109.5,,2,111,804,114,39,-0.4,1543964400,206,13.6,3.7
5,79,2018-12-06,-4.6,4,32,4,31,253,39,-0.4,1544061600,1.0,189,4.0,1544061600,-6.8,1544115600,1.0,1.0,993,final,88.9,1009,15.0,,3,107,769,108,62,-3.0,1544050800,189,6.0,2.3
6,98,2018-12-07,-3.9,4,31,4,30,247,38,-1.0,1544162400,0.4,111,3.0,1544187600,-6.4,1544140800,0.0,0.0,978,final,89.3,994,0.0,,1,104,737,102,26,-2.4,1544137200,111,5.2,1.6
7,100,2018-12-08,-1.4,4,29,4,30,241,36,0.8,1544292000,0.4,52,5.0,1544295600,-2.7,1544223600,2.0,2.0,966,final,91.0,982,11.5,,0,100,707,97,12,-0.1,1544223600,52,6.4,3.3
8,99,2018-12-09,-0.6,4,28,4,29,236,35,1.4,1544382000,0.4,231,4.2,1544310000,-0.7,1544338800,12.0,12.0,968,final,93.2,984,88.0,,0,97,681,93,9,0.4,1544310000,231,5.6,2.5
9,90,2018-12-10,0.6,4,27,4,29,230,34,2.8,1544479200,0.7,282,3.0,1544472000,1.1,1544400000,0.5,0.5,988,final,87.9,1004,0.0,,2,94,657,89,49,2.3,1544396400,282,6.8,2.3
10,84,2018-12-11,-0.4,4,27,4,28,226,33,3.4,1544486400,0.9,217,3.0,1544482800,-2.8,1544565600,0.0,0.0,1008,final,90.3,1025,0.0,,3,92,636,85,82,1.0,1544482800,217,5.2,1.7
11,82,2018-12-12,-7.1,4,26,3,28,221,32,-0.8,1544569200,0.6,214,3.0,1544569200,-9.1,1544652000,0.0,0.0,1014,final,91.9,1031,0.0,,2,89,618,82,42,-6.0,1544569200,214,4.0,1.3
12,88,2018-12-13,-10.6,4,25,3,28,217,31,-6.5,1544659200,0.4,197,2.0,1544684400,-10.9,1544734800,0.0,0.0,1015,final,87.6,1033,0.0,,1,87,602,79,15,-8.9,1544655600,197,3.6,1.4
13,76,2018-12-14,-13.1,4,25,3,27,214,30,-8.1,1544803200,0.7,198,2.0,1544745600,-13.2,1544824800,0.0,0.0,1015,final,89.1,1033,0.0,,2,85,589,77,56,-11.7,1544742000,198,2.8,1.1
14,55,2018-12-15,-11.7,3,24,3,27,210,29,-3.8,1544907600,0.6,167,3.0,1544904000,-13.7,1544835600,0.0,0.0,1011,final,82.9,1029,0.0,,2,83,577,75,40,-9.3,1544828400,167,7.6,1.4
15,8,2018-12-16,-6.8,3,24,3,27,208,29,1.9,1544972400,1.3,186,6.0,1544972400,-6.9,1544914800,0.0,0.0,1000,final,58.6,1016,0.0,,3,83,567,73,73,0.4,1544914800,186,12.8,4.7
16,84,2018-12-17,-6.1,3,23,3,27,205,28,0.9,1545001200,0.4,168,4.0,1545008400,-3.7,1545055200,0.0,0.0,1001,final,75.6,1017,0.0,,1,82,559,72,14,-2.3,1545001200,168,7.2,1.4
17,54,2018-12-18,-7.1,3,23,3,26,204,28,-2.3,1545166800,0.9,85,3.0,1545120000,-7.6,1545152400,0.0,0.0,1003,final,84.0,1020,0.0,,3,81,553,71,61,-4.8,1545087600,85,8.4,1.6
18,85,2018-12-19,-5.7,3,23,3,26,202,28,4.1,1545231600,0.4,150,7.0,1545246000,-5.8,1545181200,0.0,0.0,997,final,62.8,1014,0.0,,1,81,549,70,19,0.7,1545174000,150,12.4,2.7
19,60,2018-12-20,-4.1,3,23,3,26,201,28,4.0,1545303600,0.9,190,6.0,1545282000,1.4,1545343200,0.0,0.0,996,final,58.7,1012,0.0,,1,81,547,70,27,3.2,1545260400,190,12.0,4.1
20,55,2018-12-21,-6.7,3,23,3,26,201,28,2.9,1545346800,0.6,176,4.0,1545429600,-1.8,1545429600,0.0,0.0,994,final,62.7,1010,0.0,,1,81,547,70,35,-0.5,1545346800,176,12.0,2.4
21,61,2018-12-22,-7.6,3,23,3,26,201,28,-1.2,1545433200,0.8,137,5.0,1545433200,-3.4,1545465600,0.0,0.0,992,final,66.5,1008,0.0,,2,81,548,70,58,-2.2,1545433200,137,9.2,1.9
22,60,2018-12-23,-6.4,3,23,3,26,201,28,-1.8,1545519600,1.0,98,3.0,1545530400,-5.1,1545584400,0.0,0.0,999,final,84.3,1015,0.0,,3,81,552,71,70,-4.1,1545519600,98,4.4,1.6
23,100,2018-12-24,-0.9,3,23,3,26,202,28,3.3,1545685200,0.4,203,6.0,1545670800,-4.5,1545606000,22.0,22.0,995,final,87.0,1012,48.5,,0,82,558,72,7,1.1,1545606000,203,12.4,3.8
24,99,2018-12-25,2.2,3,24,3,27,204,28,6.5,1545735600,0.4,247,10.0,1545735600,1.2,1545699600,30.5,30.5,995,final,84.3,1011,0.0,,1,83,566,73,14,4.7,1545692400,247,18.0,6.3
25,100,2018-12-26,3.1,3,24,3,27,206,29,6.5,1545836400,0.4,225,6.0,1545850800,2.8,1545814800,6.5,6.5,997,final,90.2,1013,0.0,,0,84,576,74,7,4.6,1545778800,225,13.2,3.3
26,100,2018-12-27,2.2,4,24,3,27,208,29,6.2,1545926400,0.4,205,4.0,1545933600,3.2,1545879600,7.0,7.0,994,final,86.1,1010,0.0,,0,85,588,76,8,4.3,1545865200,205,8.0,3.1
27,100,2018-12-28,2.0,4,25,3,27,211,30,5.4,1545966000,0.4,211,4.0,1546016400,1.7,1546016400,9.0,9.0,998,final,87.3,1014,0.0,,0,86,601,78,9,4.0,1545951600,211,8.8,2.8
28,93,2018-12-29,1.1,4,26,3,27,214,30,5.0,1546041600,0.5,208,5.0,1546045200,1.7,1546120800,9.0,9.0,996,final,88.3,1012,0.0,,2,88,617,81,40,2.8,1546038000,208,14.0,3.3
29,74,2018-12-30,-0.8,4,26,3,28,218,31,2.8,1546196400,0.8,197,4.0,1546156800,0.4,1546128000,12.0,12.0,1002,final,87.4,1019,39.0,,2,89,635,84,42,1.1,1546124400,197,7.2,2.8
30,93,2018-12-31,1.1,4,27,4,28,222,32,7.4,1546264800,0.4,205,8.0,1546257600,0.2,1546214400,21.0,21.0,987,final,80.8,1003,0.0,,1,91,654,87,17,4.1,1546210800,205,20.8,4.4
0,82,2019-01-01,-0.7,4,27,4,28,223,32,6.0,1546326000,0.4,264,8.0,1546362000,-0.3,1546380000,7.0,7.0,985,final,80.1,1001,0.0,,1,92,659,88,19,2.4,1546297200,264,20.0,5.0
1,85,2019-01-02,-1.0,4,28,4,29,228,33,2.6,1546466400,0.5,275,6.0,1546437600,-1.7,1546401600,5.0,5.0,1013,final,88.8,1029,5.5,,2,94,681,92,38,0.6,1546383600,275,13.2,3.6
2,100,2019-01-03,3.0,4,29,4,29,233,34,6.1,1546549200,0.4,222,8.0,1546542000,1.5,1546470000,11.0,11.0,1011,final,90.6,1028,0.0,,1,96,704,96,17,4.4,1546470000,222,17.2,4.5
3,100,2019-01-04,5.4,4,30,4,30,238,35,7.8,1546592400,0.4,241,6.0,1546585200,5.1,1546570800,15.5,15.5,1002,final,93.2,1019,0.0,,0,98,729,100,10,6.4,1546556400,241,16.4,4.1
4,100,2019-01-05,4.6,4,32,4,30,244,37,6.3,1546642800,0.4,217,4.0,1546650000,4.8,1546671600,0.0,0.0,1007,final,95.1,1023,0.0,,0,101,756,105,11,5.3,1546642800,217,8.0,2.2
5,93,2019-01-06,3.8,4,33,5,31,250,38,6.1,1546740000,0.4,218,4.0,1546783200,2.0,1546812000,2.0,2.0,1007,final,91.0,1023,0.0,,1,104,784,110,12,5.2,1546729200,218,10.8,2.9
6,99,2019-01-07,-1.1,4,34,5,31,256,40,4.3,1546822800,0.4,148,4.0,1546894800,0.9,1546894800,0.0,0.0,995,final,81.0,1012,0.0,,1,107,814,116,23,1.8,1546815600,148,7.6,2.7
7,86,2019-01-08,-1.1,5,35,5,32,263,41,2.1,1546927200,0.4,193,4.0,1546916400,0.0,1546977600,0.5,0.5,993,final,86.3,1010,3.5,,1,111,846,123,27,1.0,1546902000,193,7.6,2.2
8,88,2019-01-09,-1.7,5,37,5,33,270,43,0.7,1547071200,0.4,225,4.0,1547064000,-0.9,1547020800,1.0,1.0,1006,final,88.8,1023,13.5,,1,115,879,129,25,-0.1,1546988400,225,7.6,2.4
9,97,2019-01-10,2.0,5,38,6,33,277,45,7.8,1547139600,0.4,218,10.0,1547157600,-0.1,1547085600,7.5,7.5,992,final,84.9,1008,16.0,,1,119,915,137,18,4.4,1547074800,218,26.8,5.7
10,94,2019-01-11,-1.5,5,40,6,34,285,47,7.4,1547161200,0.4,260,10.0,1547186400,0.4,1547193600,11.5,11.5,990,final,81.1,1006,20.0,,2,124,954,145,38,1.4,1547161200,260,23.6,7.0
11,93,2019-01-12,-1.2,5,41,6,35,293,49,1.9,1547251200,0.4,223,4.0,1547251200,-1.4,1547326800,3.5,3.5,983,final,89.4,999,16.0,,1,130,995,154,15,0.4,1547247600,223,10.4,2.1
12,89,2019-01-13,-2.5,6,43,7,35,301,51,1.9,1547370000,0.7,250,7.0,1547402400,-3.2,1547402400,6.5,6.5,965,final,89.2,981,63.0,,3,136,1041,163,73,-1.0,1547334000,250,15.2,4.3
13,91,2019-01-14,-4.0,6,45,7,36,309,54,2.6,1547456400,0.5,305,8.0,1547460000,-2.9,1547420400,3.0,3.0,973,final,79.0,989,49.0,,3,142,1092,174,62,-0.7,1547420400,305,14.8,5.1
14,72,2019-01-15,-6.9,6,48,8,37,317,56,-0.8,1547506800,0.4,196,4.0,1547528400,-9.4,1547582400,2.0,2.0,979,final,85.2,996,40.0,,2,149,1147,185,42,-4.8,1547506800,196,6.8,2.2
15,94,2019-01-16,-9.4,6,50,8,38,325,59,-4.8,1547643600,0.4,141,3.0,1547593200,-11.5,1547611200,0.0,0.0,973,final,86.9,990,0.0,,2,155,1206,197,37,-7.6,1547593200,141,4.0,1.8
16,91,2019-01-17,-6.0,7,53,9,38,334,61,-0.6,1547737200,0.5,197,5.0,1547748000,-6.7,1547708400,2.0,2.0,979,final,87.3,996,45.0,,2,162,1268,210,60,-4.2,1547679600,197,11.6,3.0
17,94,2019-01-18,-3.5,7,56,9,39,343,64,-1.2,1547816400,0.6,217,5.0,1547823600,-3.6,1547776800,9.5,9.5,988,final,91.3,1004,185.5,,3,168,1333,224,82,-2.3,1547766000,217,9.6,3.0
18,80,2019-01-19,-4.0,7,58,10,40,351,67,-0.6,1547877600,0.7,230,8.0,1547877600,-3.8,1547902800,6.0,6.0,991,final,90.0,1008,115.5,,6,175,1399,238,140,-2.6,1547852400,230,11.2,3.4
19,46,2019-01-20,-6.5,8,61,11,41,360,70,-2.8,1547985600,0.9,216,4.0,1547960400,-9.6,1548014400,0.0,0.0,998,final,89.5,1015,0.0,,9,181,1467,254,226,-5.0,1547938800,216,4.8,2.4
20,86,2019-01-21,-9.6,8,64,11,42,369,74,-5.5,1548093600,0.6,149,2.0,1548097200,-11.1,1548050400,0.0,0.0,995,final,85.6,1012,0.0,,5,188,1536,270,109,-7.6,1548025200,149,4.8,1.3
21,74,2019-01-22,-10.9,8,67,12,43,378,77,-5.3,1548180000,0.4,168,3.0,1548180000,-11.1,1548133200,0.0,0.0,989,final,83.4,1006,0.0,,3,194,1605,287,72,-8.6,1548111600,168,3.6,1.4
22,81,2019-01-23,-11.4,8,70,13,44,387,81,-6.0,1548205200,0.8,129,3.0,1548266400,-11.7,1548230400,0.0,0.0,987,final,88.1,1004,0.0,,8,201,1675,305,200,-9.8,1548198000,129,3.6,1.6
23,99,2019-01-24,-10.5,9,73,13,44,396,84,-5.5,1548367200,0.4,167,2.0,1548306000,-11.7,1548284400,0.0,0.0,993,final,85.6,1010,0.0,,4,208,1745,324,88,-8.6,1548284400,167,4.0,1.2
24,33,2019-01-25,-9.4,9,76,14,45,406,88,-4.5,1548374400,1.3,139,3.0,1548421200,-9.2,1548403200,0.0,0.0,990,final,77.8,1007,0.0,,14,214,1816,343,343,-6.1,1548370800,139,10.0,1.3
25,10,2019-01-26,-10.2,9,79,15,46,415,92,-3.0,1548464400,1.3,159,6.0,1548525600,-7.1,1548540000,0.0,0.0,984,final,64.0,1001,0.0,,15,221,1886,364,364,-4.4,1548457200,159,11.6,3.2
26,82,2019-01-27,-12.3,9,81,16,47,424,96,-4.6,1548561600,0.8,179,6.0,1548594000,-7.0,1548612000,0.0,0.0,980,final,59.8,996,0.0,,7,227,1955,385,169,-5.8,1548543600,179,12.0,3.5
27,74,2019-01-28,-11.3,10,84,17,48,433,100,-2.9,1548680400,0.8,206,5.0,1548637200,-9.2,1548712800,0.0,0.0,977,final,63.0,994,0.0,,9,234,2025,407,221,-5.3,1548630000,206,8.0,3.0
28,59,2019-01-29,-12.4,10,87,18,49,442,105,-5.8,1548792000,1.2,164,4.0,1548788400,-10.1,1548745200,0.0,0.0,977,final,70.5,994,0.0,,17,241,2093,429,419,-8.0,1548716400,164,4.4,1.3
29,89,2019-01-30,-9.6,10,90,19,50,451,109,-0.7,1548885600,0.4,108,3.0,1548885600,-9.7,1548806400,0.0,0.0,981,final,70.2,998,0.0,,5,247,2162,453,113,-5.0,1548802800,108,6.0,1.7
30,98,2019-01-31,-8.6,11,93,20,51,460,113,0.5,1548903600,0.4,182,7.0,1548954000,-4.9,1548964800,0.0,0.0,988,final,55.8,1004,0.0,,5,256,2229,477,123,-0.9,1548889200,182,10.0,3.6
31,56,2019-02-01,-9.1,11,96,21,52,469,118,-0.8,1549018800,1.3,144,6.0,1549011600,-4.9,1549058400,0.0,0.0,994,final,60.0,1011,0.0,,17,266,2300,503,407,-2.4,1548975600,144,11.2,3.0
32,74,2019-02-02,-11.5,12,99,22,53,477,123,-2.6,1549065600,0.6,97,4.0,1549076400,-6.2,1549137600,0.0,0.0,994,final,61.2,1011,0.0,,10,277,2379,530,251,-5.2,1549062000,97,10.8,2.4
33,72,2019-02-03,-11.1,12,103,23,54,486,128,-5.4,1549152000,0.4,112,2.0,1549209600,-11.0,1549173600,0.0,0.0,996,final,75.9,1013,0.0,,5,288,2467,559,131,-7.5,1549148400,112,5.2,1.4
34,43,2019-02-04,-9.3,12,107,25,55,494,133,-5.5,1549278000,1.2,100,3.0,1549314000,-9.9,1549267200,0.0,0.0,995,final,89.9,1012,0.0,,20,299,2561,589,477,-7.9,1549234800,100,4.0,1.7
35,37,2019-02-05,-11.4,13,111,26,56,503,138,-7.0,1549400400,1.2,191,4.0,1549400400,-12.7,1549342800,0.0,0.0,999,final,87.1,1016,0.0,,26,310,2658,621,618,-9.6,1549321200,191,4.4,1.8
36,65,2019-02-06,-10.3,13,115,27,57,511,143,-2.0,1549490400,0.6,162,3.0,1549425600,-11.7,1549443600,2.0,2.0,993,final,78.3,1010,42.5,,7,320,2758,653,158,-7.1,1549407600,162,10.0,1.7
37,85,2019-02-07,-4.4,14,119,29,57,519,148,2.7,1549519200,1.2,165,4.0,1549501200,-4.5,1549562400,0.5,0.5,983,final,70.1,999,1.0,,21,331,2859,687,508,0.4,1549494000,165,9.6,2.3
38,100,2019-02-08,-2.6,14,123,30,58,527,153,1.3,1549580400,0.4,139,3.0,1549580400,-2.3,1549663200,1.5,1.5,975,final,86.4,991,15.5,,6,341,2959,722,141,-0.5,1549580400,139,6.0,1.4
39,98,2019-02-09,-2.5,15,127,32,59,535,159,2.6,1549684800,0.4,150,3.0,1549674000,-2.7,1549735200,0.0,0.0,966,final,78.7,982,0.0,,9,351,3058,759,205,0.9,1549666800,150,9.2,1.7
40,83,2019-02-10,-1.1,15,131,33,60,543,164,1.7,1549803600,1.0,226,3.0,1549803600,-0.9,1549771200,1.0,1.0,968,final,92.1,984,15.0,,20,360,3155,796,473,0.1,1549753200,226,5.2,2.1
41,86,2019-02-11,-2.3,15,135,35,61,550,170,0.2,1549893600,0.7,222,6.0,1549893600,-2.3,1549864800,7.5,7.5,987,final,91.5,1003,115.0,,8,370,3251,834,191,-1.0,1549839600,222,12.4,3.2
42,87,2019-02-12,-2.0,16,139,36,62,558,176,2.6,1550005200,0.4,200,5.0,1549983600,-2.3,1549947600,10.5,10.5,994,final,86.6,1011,33.5,,7,380,3345,874,157,0.0,1549926000,200,12.8,3.1
43,79,2019-02-13,0.6,16,143,38,63,565,181,5.9,1550070000,0.6,222,9.0,1550055600,1.3,1550084400,3.5,3.5,992,final,77.2,1009,0.0,,16,389,3438,914,394,4.3,1550012400,222,23.2,5.3
44,99,2019-02-14,0.3,17,147,40,64,573,187,10.3,1550134800,0.4,233,11.0,1550149200,1.8,1550098800,0.0,0.0,995,final,63.9,1011,0.0,,11,398,3528,955,254,6.7,1550098800,233,20.0,5.8
45,86,2019-02-15,3.0,17,151,42,65,580,193,7.6,1550232000,1.3,171,4.0,1550196000,1.5,1550268000,6.5,6.5,996,final,87.8,1012,0.0,,26,407,3616,997,630,4.9,1550185200,171,13.2,2.0
46,71,2019-02-16,-0.2,17,154,43,65,587,199,5.7,1550286000,0.9,210,7.0,1550289600,0.5,1550275200,2.0,2.0,992,final,81.3,1008,0.0,,30,416,3702,1040,725,2.8,1550271600,210,10.4,2.9
47,96,2019-02-17,-2.9,18,158,45,66,594,205,6.4,1550440800,0.5,141,2.0,1550401200,-0.7,1550379600,0.0,0.0,997,final,69.8,1013,0.0,,13,425,3786,1083,306,2.0,1550358000,141,5.2,1.6
48,69,2019-02-18,-1.9,18,161,47,67,601,211,9.6,1550502000,1.1,189,5.0,1550527200,2.1,1550469600,0.0,0.0,984,final,54.3,1000,0.0,,35,434,3868,1127,831,6.8,1550444400,189,6.0,2.9
49,77,2019-02-19,-1.7,19,165,49,68,607,218,7.7,1550530800,0.9,233,6.0,1550592000,1.5,1550613600,3.0,3.0,977,final,66.3,993,0.0,,32,445,3949,1172,762,4.2,1550530800,233,12.4,3.1
50,69,2019-02-20,-3.5,19,168,51,69,614,224,3.6,1550617200,0.9,152,4.0,1550700000,-0.8,1550628000,0.0,0.0,994,final,76.8,1010,0.0,,40,457,4035,1219,964,0.2,1550617200,152,8.4,2.0
51,100,2019-02-21,-2.8,20,172,53,70,620,230,2.2,1550718000,0.5,96,4.0,1550746800,-1.2,1550746800,3.5,3.5,999,final,81.8,1016,46.0,,10,471,4129,1267,245,0.2,1550703600,96,9.2,2.2
52,98,2019-02-22,0.4,20,176,55,70,627,237,4.0,1550869200,0.6,133,3.0,1550869200,-0.6,1550790000,2.0,2.0,1012,final,92.1,1028,14.0,,12,485,4234,1317,281,1.5,1550790000,133,5.6,1.3
53,100,2019-02-23,1.7,21,181,57,71,633,243,7.2,1550926800,0.5,155,3.0,1550883600,1.5,1550955600,0.0,0.0,1010,final,84.8,1027,0.0,,12,498,4346,1369,289,4.1,1550876400,155,5.6,1.5
54,79,2019-02-24,0.9,21,186,59,72,639,249,6.7,1551013200,0.9,215,10.0,1551013200,1.3,1550970000,4.0,4.0,1008,final,75.0,1025,0.0,,42,511,4460,1422,1011,5.1,1550962800,215,23.2,5.8
55,93,2019-02-25,1.5,22,191,62,73,645,256,8.3,1551106800,0.7,235,10.0,1551124800,3.1,1551081600,2.0,2.0,1011,final,72.7,1028,0.0,,16,524,4574,1476,376,6.0,1551049200,235,19.6,4.8
56,91,2019-02-26,1.9,22,195,64,74,651,263,8.5,1551196800,0.7,187,5.0,1551135600,4.1,1551171600,0.0,0.0,1009,final,75.8,1025,0.0,,17,536,4687,1532,409,5.9,1551135600,187,12.4,2.5
57,59,2019-02-27,0.0,23,200,66,74,657,269,7.9,1551268800,1.0,246,12.0,1551258000,3.3,1551301200,4.0,4.0,995,final,67.6,1011,0.0,,52,548,4798,1588,1247,5.7,1551222000,246,20.8,7.2
58,98,2019-02-28,0.1,23,204,69,75,662,276,4.2,1551312000,0.5,253,7.0,1551319200,0.1,1551387600,4.5,4.5,993,final,91.3,1009,25.5,,12,559,4906,1645,284,1.3,1551308400,253,14.8,4.0
59,77,2019-03-01,-1.4,24,213,73,77,673,289,1.2,1551448800,1.3,216,6.0,1551477600,-0.6,1551416400,4.5,4.5,995,final,89.0,1011,40.5,,56,581,5113,1762,1348,0.2,1551394800,216,12.4,3.4
60,100,2019-03-02,-1.0,25,217,76,77,678,296,1.5,1551499200,0.7,150,6.0,1551488400,-1.1,1551564000,25.5,25.5,983,final,91.2,1000,126.5,,12,592,5212,1822,277,0.2,1551481200,150,14.4,3.3
61,95,2019-03-03,-3.1,25,221,78,78,683,303,1.7,1551610800,0.7,114,4.0,1551596400,-3.5,1551585600,0.0,0.0,973,final,84.5,989,0.0,,20,603,5308,1882,478,-0.7,1551567600,114,9.2,2.3
62,66,2019-03-04,-6.0,26,225,81,79,688,309,-0.6,1551711600,1.3,47,6.0,1551715200,-7.1,1551729600,0.0,0.0,970,final,78.3,986,0.0,,41,613,5401,1943,980,-2.7,1551654000,47,8.4,4.3
63,8,2019-03-05,-12.3,26,229,84,80,693,316,-3.3,1551794400,2.1,87,5.0,1551740400,-11.4,1551769200,0.0,0.0,981,final,68.2,997,0.0,,83,623,5491,2004,2002,-7.3,1551740400,87,6.4,2.3
64,12,2019-03-06,-11.6,26,232,86,80,698,323,0.0,1551884400,2.3,105,3.0,1551880800,-13.4,1551852000,0.0,0.0,986,final,75.0,1002,0.0,,86,633,5579,2066,2066,-7.9,1551826800,105,4.8,1.7
65,98,2019-03-07,-5.1,27,236,89,81,703,330,-1.3,1551970800,0.7,43,6.0,1551960000,-8.0,1551913200,0.0,0.0,974,final,87.0,990,0.0,,24,643,5664,2129,567,-3.2,1551913200,43,6.9,3.4
66,85,2019-03-08,-5.0,27,239,91,82,708,337,1.3,1552053600,1.3,257,6.0,1552053600,-3.0,1552017600,0.0,0.0,972,final,76.7,988,0.0,,38,652,5746,2192,906,-1.3,1551999600,257,11.2,3.1
67,52,2019-03-09,-6.1,28,243,94,82,712,344,0.0,1552136400,1.5,247,4.0,1552096800,-5.0,1552168800,0.0,0.0,974,final,76.8,990,0.0,,80,663,5825,2255,1921,-2.5,1552086000,247,9.2,2.4
68,80,2019-03-10,-7.2,28,246,97,83,717,351,-1.6,1552222800,0.8,162,4.0,1552208400,-6.6,1552248000,0.0,0.0,979,final,78.4,995,0.0,,24,679,5910,2320,570,-3.9,1552172400,162,5.2,2.0
69,49,2019-03-11,-6.7,29,250,99,84,721,358,1.6,1552312800,1.8,228,3.0,1552284000,-7.9,1552262400,0.5,0.5,989,final,77.8,1006,10.0,,85,694,6011,2386,2041,-3.2,1552258800,228,6.8,2.4
70,84,2019-03-12,-7.6,30,255,102,84,726,365,0.4,1552399200,0.8,184,7.0,1552392000,-7.3,1552370400,0.0,0.0,985,final,69.0,1001,0.0,,26,708,6121,2454,626,-2.5,1552345200,184,16.8,3.3
71,100,2019-03-13,-6.2,30,260,105,85,730,372,0.7,1552482000,0.8,190,5.0,1552482000,-2.2,1552449600,0.0,0.0,972,final,69.0,988,0.0,,26,722,6236,2523,625,-1.2,1552431600,190,14.4,2.6
72,63,2019-03-14,-3.0,31,265,108,86,734,379,6.0,1552575600,1.8,196,3.0,1552546800,-2.6,1552536000,1.5,1.5,970,final,82.3,986,25.5,,86,736,6351,2593,2065,-0.3,1552518000,196,3.6,1.6
73,75,2019-03-15,-6.5,31,269,111,86,738,386,3.3,1552658400,1.2,163,4.0,1552647600,-5.9,1552687200,0.0,0.0,971,final,64.9,987,0.0,,64,749,6465,2664,1527,-0.4,1552604400,163,5.2,2.2
74,51,2019-03-16,-7.1,32,274,114,87,742,393,3.3,1552741200,1.7,144,4.0,1552719600,-8.1,1552708800,0.0,0.0,978,final,72.3,994,0.0,,78,761,6577,2735,1880,-2.7,1552690800,144,6.0,2.0
75,93,2019-03-17,-4.8,32,279,117,87,746,400,1.7,1552831200,0.8,54,7.0,1552824000,-3.0,1552795200,1.5,1.5,973,final,71.2,989,3.0,,29,773,6685,2807,702,-0.2,1552777200,54,12.0,5.0
76,65,2019-03-18,-3.3,33,283,120,88,750,407,3.6,1552921200,2.0,250,6.0,1552870800,-1.4,1552878000,0.0,0.0,987,final,75.6,1003,0.0,,105,785,6790,2880,2516,0.7,1552863600,250,12.0,2.9
